epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.7889,0.49292,2.04491,0.93354,0.89421,0.95644,0.98077,0.9251,0.36652,1.85556,0.82957,0.00013566,0.00013566,0.00013566
2,201.159,0.44723,1.87447,0.89489,0.95211,0.90086,0.995,0.94484,0.38249,1.59923,0.82277,0.000250892,0.000250892,0.000250892
3,301.737,0.44414,1.7875,0.88797,0.9414,0.96393,0.995,0.95528,0.36972,1.56132,0.83223,0.000337851,0.000337851,0.000337851
4,402.046,0.46097,1.73389,0.89346,0.91009,0.91869,0.995,0.94735,0.36051,1.49879,0.82702,0.000396534,0.000396534,0.000396534
5,500.733,0.45461,1.64229,0.89747,0.97274,0.91339,0.9785,0.93155,0.3647,1.53725,0.81153,0.000426943,0.000426943,0.000426943
6,599.487,0.39714,1.51649,0.87901,0.9538,0.9635,0.995,0.94885,0.36032,1.36432,0.81583,0.00036057,0.00036057,0.00036057
7,698.892,0.37623,1.42341,0.86074,0.97927,0.99595,0.995,0.97454,0.30302,1.27243,0.79664,0.000289884,0.000289884,0.000289884
8,800.907,0.364,1.39667,0.85242,0.96442,1,0.995,0.96903,0.2932,1.1737,0.7896,0.000219198,0.000219198,0.000219198
9,901.977,0.32815,1.31727,0.85502,0.97598,0.98306,0.995,0.97685,0.27468,1.1419,0.7875,0.000148512,0.000148512,0.000148512
10,1001.93,0.32664,1.28576,0.87037,0.98444,1,0.995,0.98202,0.25342,1.10683,0.7855,7.7826e-05,7.7826e-05,7.7826e-05
